설립구분,학교급코드,지역,교육지원청,시도교육청,교육지원청코드,제외여부,예결산구분,세입세출구분,기타/학교일반운영,행정활동수입/교육활동지원,지원금수입/선택적교육활동,학부모부담수입/기본적교육활동,기타이전수입/학생복지_교육격차해소,정보공시 학교코드,정부이전수입/인적자원운용,시도교육청코드,소재지구분코드,분교여부,학교명,학교과정구분명(초-중-고),학교과정구분값(2-3-4),제외사유,연도,학교급코드,예산구분,학교재무활동,학교시설확충,1인당 예산,고등학교 계열 구분명
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,20000000,2920000,0,0,0,S010000738,515046000,B100000001,1,N,서울개일초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,8000000,5300000,0,106274000,0,S010000741,595191000,B100000001,1,N,서울구룡초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,0,8800000,0,0,16000000,S010000742,517287000,B100000001,1,N,서울논현초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,18000000,13110000,0,115339000,0,S010000743,576059000,B100000001,1,N,서울대곡초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,10000000,2500000,0,0,0,S010000744,739867000,B100000001,1,N,서울대도초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,20000000,23100000,0,0,0,S010000745,529136000,B100000001,1,N,서울대모초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,30000000,4100000,0,0,11160000,S010000746,595311000,B100000001,1,N,서울대왕초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,15000000,2500000,0,4500000,0,S010000747,451656000,B100000001,1,N,서울대진초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,10000000,13900000,0,0,0,S010000748,377926000,B100000001,1,N,서울대청초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,30000000,7506000,0,72200000,0,S010000749,628091000,B100000001,1,N,서울대치초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,30000000,6961000,0,61200000,0,S010000750,506020000,B100000001,1,N,서울대현초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,32000000,413333000,0,0,0,S010000751,718343000,B100000001,1,N,서울도곡초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,20000000,3545000,0,0,0,S010000752,712666000,B100000001,1,N,서울도성초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,15000000,31830000,0,0,0,S010000753,596029000,B100000001,1,N,서울반원초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,15000000,2150000,0,0,0,S010000754,497538000,B100000001,1,N,서울반포초등학교,,,,2022,2,세입,,,,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,25296000,5505000,0,0,0,S010000755,549025000,B100000001,1,N,서울방배초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,27265000,7500000,0,0,0,S010000756,525332000,B100000001,1,N,서울방일초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 서초구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,20000000,2310000,0,39168000,0,S010000757,362884000,B100000001,1,N,서울방현초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,10000000,2800000,0,30874000,0,S010000758,442200000,B100000001,1,N,서울봉은초등학교,초,2,,2022,2,세입,,,,
공립,2,서울특별시 강남구,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,N,복식부기,예산세입,30000000,5330000,0,34733000,0,S010000759,832934000,B100000001,1,N,서울삼릉초등학교,초,2,,2022,2,세입,,,,
