SCHUL_NM,ADRCD_NM,SCHUL_KND_SC_CODE,SEM_STR,AIR_BACT,FALL_BACT,MITE,RN,O3,ASBESTOS
서울교육대학교부설초등학교,서울특별시 서초구,2,상반기,451.5,1.603230313293819,10.0,38.7,0.01,0.003964597478176527
서울교육대학교부설초등학교,서울특별시 서초구,2,하반기,565.0,0.0,0.0,38.7,0.01,0.003964597478176527
서울대학교사범대학부설초등학교,서울특별시 종로구,2,상반기,114.69999999999999,0.8,20.0,47.0,0.003,0.0
서울대학교사범대학부설초등학교,서울특별시 종로구,2,하반기,193.8,1.0,20.0,54.0,0.0,0.003964597478176527
서울개일초등학교,서울특별시 강남구,2,상반기,95.0,1.603230313293819,10.0,65.7,0.01,0.005
서울개일초등학교,서울특별시 강남구,2,하반기,772.0,1.603230313293819,10.0,61.3,0.0,0.0
서울개포초등학교,서울특별시 강남구,2,,336.6977637130801,1.603230313293819,17.980964673913046,45.43074929577464,0.021434327176781006,0.003964597478176527
서울구룡초등학교,서울특별시 강남구,2,상반기,741.0,1.603230313293819,0.0,118.9,0.007,0.003964597478176527
서울구룡초등학교,서울특별시 강남구,2,하반기,741.0,0.0,0.0,118.9,0.01,0.003964597478176527
서울논현초등학교,서울특별시 강남구,2,상반기,424.5,0.0,20.0,29.0,0.014499999999999999,0.01
서울논현초등학교,서울특별시 강남구,2,하반기,228.0,1.603230313293819,20.0,32.1,0.01,0.01
서울대곡초등학교,서울특별시 강남구,2,상반기,298.0,1.603230313293819,0.0,35.8,0.012,0.01
서울대곡초등학교,서울특별시 강남구,2,하반기,766.0,1.603230313293819,17.980964673913046,45.43074929577464,0.01,0.003964597478176527
서울대도초등학교,서울특별시 강남구,2,상반기,642.0,1.603230313293819,20.0,40.7,0.044,0.01
서울대도초등학교,서울특별시 강남구,2,하반기,785.0,0.0,20.0,34.7,0.02,0.01
서울대모초등학교,서울특별시 강남구,2,상반기,362.0,0.0,20.0,18.9,0.012,0.0
서울대모초등학교,서울특별시 강남구,2,하반기,675.0,1.603230313293819,20.0,16.9,0.01,0.003964597478176527
서울대왕초등학교,서울특별시 강남구,2,상반기,519.5,0.0,20.0,23.55,0.0095,0.003964597478176527
서울대왕초등학교,서울특별시 강남구,2,하반기,182.5,1.603230313293819,17.980964673913046,45.43074929577464,0.005,0.003964597478176527
