,SCHUL_CODE,SCHUL_NM,ADRCD_NM,공시년도,BLKB_ITENI_MAX,DES_ITENI_MAX,ITENI_MAX,NSE_MAX,MNUT_DST_MAX,GMNSM_MNUT_DST_MAX,ULTRA_DST_MAX,HCHO_MAX,AIR_BACT_MAX,RN_MAX,O3_MAX,VOCS_MAX,BENZENE_MAX,TOLUENE_MAX,ETHY_BENZENE_MAX,XYLENE_MAX,STYLENE_MAX,ASBESTOS_MAX,CO_MAX,NO2_MAX,FALL_BACT_MAX,MITE_MAX,BLKB_ITENI_SCORE,DES_ITENI_SCORE,ITENI_SCORE,NSE_SCORE,MNUT_DST_SCORE,GMNSM_MNUT_DST_SCORE,ULTRA_DST_SCORE,HCHO_SCORE,AIR_BACT_SCORE,RN_SCORE,O3_SCORE,VOCS_SCORE,BENZENE_SCORE,TOLUENE_SCORE,ETHY_BENZENE_SCORE,XYLENE_SCORE,STYLENE_SCORE,ASBESTOS_SCORE,CO_SCORE,NO2_SCORE,FALL_BACT_SCORE,MITE_SCORE,BLKB_ITENI_WEIGHTED,DES_ITENI_WEIGHTED,ITENI_WEIGHTED,NSE_WEIGHTED,MNUT_DST_WEIGHTED,GMNSM_MNUT_DST_WEIGHTED,ULTRA_DST_WEIGHTED,HCHO_WEIGHTED,AIR_BACT_WEIGHTED,RN_WEIGHTED,O3_WEIGHTED,VOCS_WEIGHTED,BENZENE_WEIGHTED,TOLUENE_WEIGHTED,ETHY_BENZENE_WEIGHTED,XYLENE_WEIGHTED,STYLENE_WEIGHTED,ASBESTOS_WEIGHTED,CO_WEIGHTED,NO2_WEIGHTED,FALL_BACT_WEIGHTED,MITE_WEIGHTED,TOTAL_WEIGHTED_SCORE,SAFETY_GRADE,SEM_STR
0,S010000738,서울개일초등학교,서울특별시 강남구,1987,502.0,796.0,1.4,38.5,19.6,31.6,7.0,22.749605475040255,793.0,44.717089552238804,0.025,105.68175438596491,2.1863636363636365,67.03442363112391,12.794023668639053,23.353046062407135,8.653434190620272,0.01,0.2,0.01,1.391150442477876,20.0,1.6733333333333333,2.6533333333333333,0.4666666666666666,0.7,0.26133333333333336,0.21066666666666667,0.2,0.22749605475040255,0.99125,0.3021424969745865,0.4166666666666667,0.26420438596491225,0.07287878787878789,0.06703442363112391,0.03553895463510848,0.03336149437486734,0.02884478063540091,1.0,0.02,0.19999999999999998,0.001738938053097345,0.2,0.8366666666666667,1.3266666666666667,0.2333333333333333,0.7,0.26133333333333336,0.21066666666666667,0.2,0.6824881642512076,0.99125,0.9064274909237595,0.4166666666666667,0.39630657894736837,0.21863636363636368,0.13406884726224783,0.07107790927021695,0.06672298874973467,0.05768956127080182,3.0,0.02,0.19999999999999998,0.001738938053097345,0.2,0.5059881898044605,C,상반기
2,S010000741,서울구룡초등학교,서울특별시 강남구,1983,880.0,1015.0,1.9,34.3,68.6,62.2,33.8,24.4,566.0,81.6,0.007,245.8,0.0,145.5,8.4,11.8,6.6,0.003579064039408867,0.5,0.029,1.0,0.0,2.933333333333333,3.3833333333333333,0.6333333333333333,0.6236363636363635,0.9146666666666666,0.4146666666666667,0.9657142857142856,0.244,0.7075,0.5513513513513513,0.11666666666666667,0.6145,0.0,0.1455,0.023333333333333334,0.01685714285714286,0.022,0.3579064039408867,0.05,0.58,0.00125,0.0,1.4666666666666666,1.6916666666666667,0.31666666666666665,0.6236363636363635,0.9146666666666666,0.4146666666666667,0.9657142857142856,0.732,0.7075,1.6540540540540538,0.11666666666666667,0.9217500000000001,0.0,0.291,0.04666666666666667,0.03371428571428572,0.044,1.07371921182266,0.05,0.58,0.00125,0.0,0.5748184030731053,D,상반기
4,S010000742,서울논현초등학교,서울특별시 강남구,1972,344.3,612.3,1.3,45.9,75.3,51.1,25.8,13.8,801.6,18.2,0.018,105.68175438596491,1.7539256198347106,64.64169960474308,12.092168674698794,20.5454,5.707551020408163,0.004,0.4,0.011,3.0,20.0,1.1476666666666666,2.041,0.43333333333333335,0.8345454545454545,1.004,0.3406666666666667,0.7371428571428572,0.138,1.002,0.12297297297297297,0.3,0.26420438596491225,0.058464187327823686,0.06464169960474309,0.03358935742971887,0.02935057142857143,0.01902517006802721,0.4,0.04,0.21999999999999997,0.00375,0.2,0.5738333333333333,1.0205,0.21666666666666667,0.8345454545454545,1.004,0.3406666666666667,0.7371428571428572,0.41400000000000003,1.002,0.3689189189189189,0.3,0.39630657894736837,0.17539256198347106,0.12928339920948617,0.06717871485943774,0.05870114285714286,0.03805034013605442,1.2000000000000002,0.04,0.21999999999999997,0.00375,0.2,0.42458802887576613,B,상반기
6,S010000743,서울대곡초등학교,서울특별시 강남구,1981,504.0,646.0,1.3,43.3,38.2,47.2,22.2,34.1,705.0,18.5,0.018,105.68175438596491,2.1863636363636365,67.03442363112391,12.794023668639053,23.353046062407135,8.653434190620272,0.01,0.6,0.015,0.0,20.0,1.68,2.1533333333333333,0.43333333333333335,0.7872727272727272,0.5093333333333334,0.3146666666666667,0.6342857142857142,0.341,0.88125,0.125,0.3,0.26420438596491225,0.07287878787878789,0.06703442363112391,0.03553895463510848,0.03336149437486734,0.02884478063540091,1.0,0.06,0.3,0.0,0.2,0.84,1.0766666666666667,0.21666666666666667,0.7872727272727272,0.5093333333333334,0.3146666666666667,0.6342857142857142,1.0230000000000001,0.88125,0.375,0.3,0.39630657894736837,0.21863636363636368,0.13406884726224783,0.07107790927021695,0.06672298874973467,0.05768956127080182,3.0,0.06,0.3,0.0,0.2,0.5210292738194776,C,상반기
8,S010000744,서울대도초등학교,서울특별시 강남구,1979,301.0,307.0,1.1,45.7,42.4,57.1,19.6,13.4,355.0,32.8,0.01,255.0,0.7,148.1,3.3,7.6,4.6,0.002,0.3,0.02,3.0,19.0,1.0033333333333334,1.0233333333333334,0.3666666666666667,0.8309090909090909,0.5653333333333334,0.38066666666666665,0.56,0.134,0.44375,0.2216216216216216,0.16666666666666669,0.6375,0.02333333333333333,0.14809999999999998,0.009166666666666667,0.010857142857142857,0.015333333333333332,0.2,0.03,0.39999999999999997,0.00375,0.19,0.5016666666666667,0.5116666666666667,0.18333333333333335,0.8309090909090909,0.5653333333333334,0.38066666666666665,0.56,0.402,0.44375,0.6648648648648648,0.16666666666666669,0.9562499999999999,0.06999999999999999,0.29619999999999996,0.018333333333333333,0.021714285714285714,0.030666666666666665,0.6000000000000001,0.03,0.39999999999999997,0.00375,0.19,0.35580779885552616,A,상반기
10,S010000745,서울대모초등학교,서울특별시 강남구,1994,473.0,570.0,1.2,41.5,80.0,95.0,38.0,19.5,733.0,37.4,0.017,105.68175438596491,1.6268595041322313,29.945725806451613,6.846639004149377,11.472107438016529,3.1730705394190872,0.003944444444444445,0.6651832460732984,0.01404736842105263,1.391150442477876,20.0,1.5766666666666667,1.9,0.39999999999999997,0.7545454545454545,1.0666666666666667,0.6333333333333333,1.0857142857142856,0.195,0.91625,0.2527027027027027,0.2833333333333334,0.26420438596491225,0.054228650137741044,0.029945725806451613,0.019018441678192714,0.016388724911452185,0.010576901798063624,0.3944444444444445,0.06651832460732984,0.28094736842105256,0.001738938053097345,0.2,0.7883333333333333,0.95,0.19999999999999998,0.7545454545454545,1.0666666666666667,0.6333333333333333,1.0857142857142856,0.585,0.91625,0.758108108108108,0.2833333333333334,0.39630657894736837,0.16268595041322315,0.059891451612903226,0.03803688335638543,0.03277744982290437,0.021153803596127247,1.1833333333333336,0.06651832460732984,0.28094736842105256,0.001738938053097345,0.2,0.4756670271453745,B,상반기
12,S010000746,서울대왕초등학교,서울특별시 강남구,1932,824.0,874.0,1.1,43.1,68.4,62.3,28.4,10.3,610.0,19.6,0.023,308.7,21.5,74.2,20.0,50.5,5.8,0.0019655172413793106,0.6,0.02,2.0,20.0,2.7466666666666666,2.9133333333333336,0.3666666666666667,0.7836363636363637,0.912,0.41533333333333333,0.8114285714285714,0.10300000000000001,0.7625,0.13243243243243244,0.38333333333333336,0.7717499999999999,0.7166666666666667,0.0742,0.05555555555555555,0.07214285714285715,0.019333333333333334,0.19655172413793107,0.06,0.39999999999999997,0.0025,0.2,1.3733333333333333,1.4566666666666668,0.18333333333333335,0.7836363636363637,0.912,0.41533333333333333,0.8114285714285714,0.30900000000000005,0.7625,0.39729729729729735,0.38333333333333336,1.157625,2.15,0.1484,0.1111111111111111,0.1442857142857143,0.03866666666666667,0.5896551724137932,0.06,0.39999999999999997,0.0025,0.2,0.5813684498563417,D,상반기
14,S010000747,서울대진초등학교,서울특별시 강남구,1992,383.0,716.0,1.7,43.18745019920319,16.4,15.6,8.8,63.4,274.0,35.4,0.009,617.3,0.0,246.5,64.5,52.5,0.0,0.01,0.6,0.023,0.0,0.0,1.2766666666666666,2.3866666666666667,0.5666666666666667,0.7852263672582398,0.21866666666666665,0.104,0.25142857142857145,0.634,0.3425,0.2391891891891892,0.15,1.5432499999999998,0.0,0.2465,0.17916666666666667,0.075,0.0,1.0,0.06,0.45999999999999996,0.0,0.0,0.6383333333333333,1.1933333333333334,0.2833333333333333,0.7852263672582398,0.21866666666666665,0.104,0.25142857142857145,1.9020000000000001,0.3425,0.7175675675675676,0.15,2.314875,0.0,0.493,0.35833333333333334,0.15,0.0,3.0,0.06,0.45999999999999996,0.0,0.0,0.6101180684661082,D,상반기
16,S010000748,서울대청초등학교,서울특별시 강남구,1993,786.0,732.0,1.5,37.9,33.0,28.0,26.0,29.2,222.0,41.6,0.025,105.68175438596491,1.6268595041322313,29.945725806451613,6.846639004149377,11.472107438016529,3.1730705394190872,0.01,1.4,0.015,1.391150442477876,20.0,2.62,2.44,0.5,0.6890909090909091,0.44,0.18666666666666668,0.7428571428571429,0.292,0.2775,0.2810810810810811,0.4166666666666667,0.26420438596491225,0.054228650137741044,0.029945725806451613,0.019018441678192714,0.016388724911452185,0.010576901798063624,1.0,0.13999999999999999,0.3,0.001738938053097345,0.2,1.31,1.22,0.25,0.6890909090909091,0.44,0.18666666666666668,0.7428571428571429,0.8759999999999999,0.2775,0.8432432432432433,0.4166666666666667,0.39630657894736837,0.16268595041322315,0.059891451612903226,0.03803688335638543,0.03277744982290437,0.021153803596127247,3.0,0.13999999999999999,0.3,0.001738938053097345,0.2,0.5274825311057563,C,상반기
18,S010000749,서울대치초등학교,서울특별시 강남구,1984,756.0,710.0,1.8,47.0,32.8,9.9,22.3,27.0,112.0,62.0,0.01,105.68175438596491,2.1863636363636365,67.03442363112391,12.794023668639053,23.353046062407135,8.653434190620272,0.01,0.7,0.01,0.3,20.0,2.52,2.3666666666666667,0.6,0.8545454545454545,0.4373333333333333,0.066,0.6371428571428571,0.27,0.14,0.4189189189189189,0.16666666666666669,0.26420438596491225,0.07287878787878789,0.06703442363112391,0.03553895463510848,0.03336149437486734,0.02884478063540091,1.0,0.06999999999999999,0.19999999999999998,0.000375,0.2,1.26,1.1833333333333333,0.3,0.8545454545454545,0.4373333333333333,0.066,0.6371428571428571,0.81,0.14,1.2567567567567568,0.16666666666666669,0.39630657894736837,0.21863636363636368,0.13406884726224783,0.07107790927021695,0.06672298874973467,0.05768956127080182,3.0,0.06999999999999999,0.19999999999999998,0.000375,0.2,0.5239388932234151,C,상반기
