"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","예결산구분","세입세출구분","인적자원운용","학생복지/교육격차해소","기본적교육활동","선택적교육활동","교육활동지원","학교일반운영","학교시설확충","학교재무활동"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","복식부기","예산세출","74320000","58740000","279558000","112735000","125597000","450035000","10800000","503000"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","복식부기","예산세출","0","10500000","70700000","278870000","0","700000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000737","서울개원초등학교","02","공립","N","","복식부기","예산세출","23710000","256045000","169160000","268696000","430986000","321901000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","복식부기","예산세출","20560000","110526000","148270000","18084000","70463000","357898000","0","20000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000739","서울개포초등학교","02","공립","N","","복식부기","예산세출","28197000","189827000","178904000","24000000","66296000","391181000","0","5000000"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","복식부기","예산세출","17940000","97832000","194263000","25310000","108854000","332531000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","복식부기","예산세출","19750000","157077000","95910000","23100000","56594000","365622000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","복식부기","예산세출","60873000","182886000","366174000","643781000","107713000","409082000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","복식부기","예산세출","21300000","127943000","228840000","22180000","100303000","452427000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","복식부기","예산세출","35635000","164647000","226642000","328290000","77185000","292256000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","복식부기","예산세출","23130000","132011000","148250000","20200000","107207000","347577000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","복식부기","예산세출","11970000","142078000","83005000","154029000","109010000","274242000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","복식부기","예산세출","19380000","101032000","145876000","38700000","36831000","271358000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","복식부기","예산세출","13580000","82568000","194899000","14800000","74450000","473914000","0","0"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","복식부기","예산세출","20140000","139400000","196627000","18800000","89535000","295157000","0","0"
