SCHUL_RDNMA,SCHUL_FOND_TYP_CODE,FOAS_MEMRD,DGHT_SC_CODE,FOND_SC_CODE,USER_TELNO_SW,LTTUD,ZIP_CODE,SCHUL_KND_SC_CODE,LGTUD,SCHUL_RDNZC,DTLAD_BRKDN,USER_TELNO,ADRCD_NM,COEDU_SC_CODE,PERC_FAXNO,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,USER_TELNO_GA,HMPG_ADRES,ADRES_BRKDN,CLOSE_YN,SCHUL_CODE,FOND_YMD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,ADRCD_CD,ADRCD_ID,SCHUL_RDNDA,ABSCH_YN,BNHH_YN,SCHUL_NM,SCHUL_CRSE_SC_VALUE_NM,SCHUL_CRSE_SC_VALUE,ABSCH_YMD,MAISC_CODE,학교급코드,HS_KND_SC_NM
서울특별시 강남구 선릉로 29,단설,19820920.0,주간,공립,02-2138-1940,37.4816181495,135810,2,127.0587379216,06321 ,660-10번지.,02-2138-1940,서울특별시 강남구,남녀공학,02-2138-1945,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,02-2138-1941,https://gaewon.sen.es.kr,서울특별시 강남구 개포1동,N,S010000737,19820920.0,B100000001,1,1168010300.0,1168010300,"(개포동,개원초등학교)",N,N,서울개원초등학교,초,2.0,        ,,2,
서울특별시 강남구 개포로 401,단설,19871117.0,주간,공립,02-571-8320,37.4862137836,135804,2,127.057741991,06323,174번지.,02-571-8320,서울특별시 강남구,남녀공학,02-571-8325,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,02-571-8324,http://gaeil.sen.es.kr,서울 강남구 개포2동,N,S010000738,19871117.0,B100000001,1,1168010300.0,1168010300,", 개일초등학교 (개포동,개일초등학교)",N,N,서울개일초등학교,초,2.0,,,2,
서울특별시 강남구 삼성로4길 30,단설,19830510.0,주간,공립,02-6952-4092,37.4868054401,135804,2,127.0699765891,06331,188번지.,02-6952-4092,서울특별시 강남구,남녀공학,02-6952-4903,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,02-6952-4093,https://gaepo.sen.es.kr/,서울특별시 강남구 개포2동,N,S010000739,19830510.0,B100000001,1,1168010300.0,1168010300,"(개포동, 개포초등학교)",N,N,서울개포초등학교,초,2.0,,,2,
서울특별시 강남구 개포로 263,단설,19850506.0,주간,공립,02-573-5017,37.4811925344,135244,2,127.0517549252,06305 ,655번지.,02-573-5017,서울특별시 강남구,남녀공학,02-575-4237,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,02-573-5016,http://kuryong.sen.es.kr,서울특별시 강남구 개포동,N,S010000741,19831130.0,B100000001,1,1168010300.0,1168010300,"(개포동,구룡초등학교)",N,N,서울구룡초등학교,,,,,2,
서울특별시 강남구 강남대로120길 33,단설,19721123.0,주간,공립,,37.5081699,135010,2,127.0260317,06119,168번지.,02-514-6636,서울특별시 강남구,남녀공학,02-514-7072,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,,http://nonhyun.sen.es.kr,서울특별시 강남구 논현동,N,S010000742,19721123.0,B100000001,1,1168010800.0,1168010800,"(논현동,논현초등학교)",N,N,서울논현초등학교,,,,,2,
서울특별시 강남구 남부순환로 3022,단설,19820402.0,주간,공립,02-565-1942,37.4947119051,135837,2,127.0650264667,06288,510번지.,02-565-1942,서울특별시 강남구,남녀공학,02-565-1947,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,02-565-1945,http://seouldaegok.sen.es.kr,서울특별시 강남구 대치동,N,S010000743,19810909.0,B100000001,1,1168010600.0,1168010600,", 서울대곡초등학교 (대치동,대곡초등학교)",N,N,서울대곡초등학교,,,,,2,
서울특별시 강남구 선릉로 209,단설,19800327.0,주간,공립,02-3463-5377,37.4927679777,135272,2,127.0533460132,06277 ,109번지.,02-3463-5377,서울특별시 강남구,남녀공학,02-3462-2507,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,02-3463-5376,http://sdaedo.sen.es.kr,서울특별시 강남구 도곡동,N,S010000744,19790327.0,B100000001,1,1168011800.0,1168011800,"(도곡동, 서울대도초등학교)",N,N,서울대도초등학교,,,,,2,
서울특별시 강남구 광평로20길 27,단설,19941014.0,주간,공립,02-2226-3715,37.481536,135239,2,127.086562,06363 ,736번지.,02-2226-3715,서울특별시 강남구,남녀공학,02-2226-3750,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,02-2226-3716,http://daemo.sen.es.kr,서울특별시 강남구 일원본동,N,S010000745,19940805.0,B100000001,1,1168011400.0,1168011400,", 대모초등학교 (일원동,대모초등학교)",N,N,서울대모초등학교,초,2.0,,,2,
서울특별시 강남구 헌릉로618길 8,단설,19330501.0,주간,공립,02-3412-0123,37.4646213557,135190,2,127.1055894642,06365,122-2.,02-3412-0123,서울특별시 강남구,남녀공학,02-3412-0126,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,02-3412-0125,http://daewang.sen.es.kr,서울특별시 강남구 세곡동,N,S010000746,19321125.0,B100000001,1,1168011100.0,1168011100,"(세곡동,대왕초등학교)",N,N,서울대왕초등학교,초,2.0,,,2,
서울특별시 강남구 개포로109길 74,단설,19921026.0,주간,공립,02-3412-0472,37.4970105766,135939,2,127.0780784792,06334 ,13번지.,02-3412-0472,서울특별시 강남구,남녀공학,02-3412-0478,서울특별시강남서초교육지원청,서울특별시교육청,B100000249,02-3412-0475,http://seouldaejin.sen.es.kr,서울 강남구 개포4동,N,S010000747,19920715.0,B100000001,1,1168010300.0,1168010300,", 서울대진초등학교 (개포동)",N,N,서울대진초등학교,초,2.0,,,2,
