CO_STB_YN,FOND_SC_CODE,SEM,NO2_STB_YN,ETHY_BENZENE_STB_YN,BENZENE_STB_YN,XYLENE_STB_YN,ITENI_RSLT_NMVL,RN_RSLT_NMVL,NAT_VNTLA_STB_YN,AIR_BACT_RSLT_NMVL_3,AIR_BACT_RSLT_NMVL_2,CO2_RSLT_NMVL_3,CO2_RSLT_NMVL_2,BLKB_ITENI_STB_YN,GMNSM_MNUT_DST_RSLT_NMVL,DES_ITENI_STB_YN,NSE_STB_YN,MITE_STB_YN,CO2_RSLT_NMVL,SCHUL_CODE,DES_ITENI_RSLT_NMVL,PBAN_EXCP_YN,VOCS_STB_YN,AIR_BACT_RSLT_NMVL,RN_STB_YN,UGWTR_STB_YN,AIR_BACT_STB_YN,ULTRA_DST_RSLT_NMVL,BNHH_YN,ATPT_OFCDC_ORG_NM,NSE_RSLT_NMVL,SCHUL_NM,HCHO_STB_YN,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,WTERR_STB_YN,ADRCD_CD,GMNSM_MNUT_DST_STB_YN,PBAN_YR,MNUT_DST_RSLT_NMVL,ITENI_STB_YN,HCHO_RSLT_NMVL_3,HCHO_RSLT_NMVL_2,JU_ORG_NM,FALL_BACT_STB_YN,MNUT_DST_STB_YN,HCHO_RSLT_NMVL,PBAN_DGR,MNUT_DST_RSLT_NMVL_3,MNUT_DST_RSLT_NMVL_2,O3_RSLT_NMVL,CO2_STB_YN,ULTRA_DST_STB_YN,BLKB_ITENI_RSLT_NMVL,ULTRA_DST_RSLT_NMVL_3,ULTRA_DST_RSLT_NMVL_2,STYLENE_STB_YN,SEM_STR,ADRCD_NM,GMNSM_MNUT_DST_RSLT_NMVL_3,SCHUL_KND_SC_CODE,ASBESTOS_STB_YN,GMNSM_MNUT_DST_RSLT_NMVL_2,JU_ORG_CODE,O3_RSLT_NMVL_3,O3_RSLT_NMVL_2,O3_STB_YN,TOLUENE_STB_YN,NO2_RSLT_NMVL,TOLUENE_RSLT_NMVL,BENZENE_RSLT_NMVL,FALL_BACT_RSLT_NMVL,VOCS_RSLT_NMVL,STYLENE_RSLT_NMVL,CO_RSLT_NMVL,MITE_RSLT_NMVL,ASBESTOS_RSLT_NMVL,ETHY_BENZENE_RSLT_NMVL,XYLENE_RSLT_NMVL,SCHUL_CRSE_SC_VALUE,SCHUL_CRSE_SC_VALUE_NM,VNTLA_RSLT_NMVL,NO2_RSLT_NMVL_3,NO2_RSLT_NMVL_2,VOCS_STB_YN_RSN,RN_RSLT_NMVL_3,RN_RSLT_NMVL_2,CO_RSLT_NMVL_3,CO_RSLT_NMVL_2,XYLENE_STB_YN_RSN,ETHY_BENZENE_STB_YN_RSN,TOLUENE_STB_YN_RSN,BENZENE_STB_YN_RSN,FALL_BACT_RSLT_NMVL_3,VNTLA_STB_YN,FALL_BACT_RSLT_NMVL_2,STYLENE_STB_YN_RSN,VNTLA_STB_YN_RSN,VOCS_RSLT_NMVL_2,FALL_BACT_STB_YN_RSN,BENZENE_RSLT_NMVL_3,BENZENE_RSLT_NMVL_2,TOLUENE_RSLT_NMVL_3,TOLUENE_RSLT_NMVL_2,ETHY_BENZENE_RSLT_NMVL_3,ETHY_BENZENE_RSLT_NMVL_2,STYLENE_RSLT_NMVL_3,STYLENE_RSLT_NMVL_2,XYLENE_RSLT_NMVL_3,XYLENE_RSLT_NMVL_2,MITE_RSLT_NMVL_2,ASBESTOS_RSLT_NMVL_2,HCHO_STB_YN_RSN,CO2_STB_YN_RSN,NO2_STB_YN_RSN,ASBESTOS_STB_YN_RSN,MITE_STB_YN_RSN,AIR_BACT_STB_YN_RSN,ULTRA_DST_STB_YN_RSN,MNUT_DST_STB_YN_RSN,RN_STB_YN_RSN,CO_STB_YN_RSN,GMNSM_MNUT_DST_STB_YN_RSN,O3_STB_YN_RSN,MITE_RSLT_NMVL_3,ASBESTOS_RSLT_NMVL_3,VOCS_RSLT_NMVL_3,WTERR_STB_YN_RSN,UGWTR_STB_YN_RSN,ITENI_STB_YN_RSN,NSE_STB_YN_RSN,DES_ITENI_STB_YN_RSN,BLKB_ITENI_STB_YN_RSN,PBAN_EXCP_RSN,NAT_VNTLA_STB_YN_RSN,연도,학교급코드,HS_KND_SC_NM
해당없음,국립,2.0,해당없음,해당없음,해당없음,해당없음,1.0,49.0,실시,626.0,409.0,919.0,896.0,적합,53.3,적합,적합,해당없음,847.0,S000003511,350.0,N,해당없음,505.0,적합,적합,적합,6.7,N,서울특별시교육청,50.0,서울교육대학교부설초등학교,적합,A000000001,1,적합,1165010800.0,적합,2022.0,26.4,적합,10.6,22.5,교육부,해당없음,적합,10.5,1.0,29.6,25.8,0.01,적합,적합,350.0,5.4,5.9,해당없음,상반기,서울특별시 서초구,51.7,2,해당없음,52.5,A000000001,0.01,0.02,적합,해당없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
적합,국립,1.0,적합,적합,적합,적합,,44.0,,,,,,,18.5,,,적합,961.0,S000003511,,N,적합,718.0,적합,,적합,6.8,N,서울특별시교육청,,서울교육대학교부설초등학교,적합,A000000001,1,,1165010800.0,적합,2022.0,15.2,,,,교육부,적합,적합,14.0,1.0,,,0.01,적합,적합,,,,적합,하반기,서울특별시 서초구,,2,적합,,A000000001,,,적합,적합,0.01,25.4,0.0,1.7,67.7,0.0,0.5,0.0,0.0,0.0,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
적합,국립,2.0,적합,적합,적합,적합,1.1,19.0,실시,,,,,적합,31.6,적합,적합,적합,800.4,S000003563,882.0,N,적합,409.6,적합,적합,적합,12.1,N,서울특별시교육청,45.6,서울대학교사범대학부설초등학교,적합,A000000001,1,,1111016800.0,적합,2022.0,43.0,적합,,,교육부,적합,적합,10.0,1.0,,,0.001,적합,적합,852.0,,,적합,상반기,서울특별시 종로구,,2,적합,,A000000001,,,적합,적합,0.032,11.1,0.0,4.0,31.4,0.0,0.2,20.0,0.001,0.0,0.0,2.0,초,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
적합,국립,1.0,적합,적합,적합,적합,,32.0,,,,,,,63.1,,,적합,718.0,S000003563,,N,적합,290.5,적합,,적합,29.4,N,서울특별시교육청,,서울대학교사범대학부설초등학교,적합,A000000001,1,,1111016800.0,적합,2022.0,63.6,,,,교육부,적합,적합,30.0,1.0,,,0.0,적합,적합,,,,적합,하반기,서울특별시 종로구,,2,적합,,A000000001,,,적합,적합,0.03,29.2,0.0,3.0,71.8,0.7,1.5,20.0,0.0,2.8,0.6,2.0,초,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
적합,공립,2.0,적합,해당없음,해당없음,해당없음,1.4,,실시,597.0,793.0,534.7,918.7,적합,31.6,적합,적합,적합,838.3,S010000738,796.0,N,해당없음,778.0,해당없음,,적합,7.0,N,서울특별시교육청,38.5,서울개일초등학교,해당없음,B100000001,1,,1168010300.0,적합,2022.0,19.6,적합,,,서울특별시강남서초교육지원청,해당없음,적합,,1.0,39.4,15.6,0.007,적합,적합,502.0,28.0,7.0,해당없음,상반기,서울특별시 강남구,,2,적합,,B100000249,0.021,0.025,적합,해당없음,0.01,,,,,,0.2,20.0,0.01,,,2.0,초,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
적합,공립,1.0,적합,해당없음,해당없음,해당없음,,63.0,,,,,,,19.6,,,적합,877.3,S010000738,,N,해당없음,698.0,적합,,적합,6.0,N,서울특별시교육청,,서울개일초등학교,적합,B100000001,1,,1168010300.0,적합,2022.0,21.2,,,,서울특별시강남서초교육지원청,해당없음,적합,19.5,1.0,,,0.02,적합,적합,,,,해당없음,하반기,서울특별시 강남구,,2,적합,,B100000249,,,적합,해당없음,0.02,,,,,,0.6,10.0,0.0,,,2.0,초,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
적합,공립,2.0,적합,적합,적합,적합,1.9,81.6,실시,,,,,적합,62.2,적합,적합,적합,895.7,S010000741,1015.0,N,적합,566.0,적합,,적합,33.8,N,서울특별시교육청,34.3,서울구룡초등학교,적합,B100000001,1,,1168010300.0,적합,2022.0,68.6,적합,,,서울특별시강남서초교육지원청,적합,적합,24.4,1.0,,,0.007,적합,적합,880.0,,,적합,상반기,서울특별시 강남구,,2,해당없음,,B100000249,,,적합,적합,0.029,145.5,0.0,1.0,245.8,6.6,0.5,0.0,,8.4,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
적합,공립,1.0,적합,적합,적합,적합,,93.4,,,,,,,13.4,,,적합,911.0,S010000741,,N,적합,779.0,적합,,적합,9.2,N,서울특별시교육청,,서울구룡초등학교,적합,B100000001,1,,1168010300.0,적합,2022.0,19.6,,,,서울특별시강남서초교육지원청,적합,적합,39.0,1.0,,,0.01,적합,적합,,,,적합,하반기,서울특별시 강남구,,2,해당없음,,B100000249,,,적합,적합,0.0,24.1,0.0,0.0,82.2,0.0,0.4,0.0,,2.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
적합,공립,2.0,적합,미실시,미실시,미실시,1.3,18.2,실시,632.1,801.6,907.3,910.0,적합,47.6,적합,적합,적합,905.0,S010000742,612.3,N,미실시,508.3,적합,,적합,20.9,N,서울특별시교육청,45.9,서울논현초등학교,적합,B100000001,1,적합,1168010800.0,적합,2022.0,71.6,적합,13.3,13.8,서울특별시강남서초교육지원청,적합,적합,12.5,1.0,73.1,75.3,0.015,적합,적합,344.3,24.0,25.8,미실시,상반기,서울특별시 강남구,49.3,2,적합,51.1,B100000249,0.016,0.018,적합,미실시,0.01,,,0.0,,,0.1,20.0,0.004,,,,,21.7,0.01,0.011,해당사항 없음,16.1,13.9,0.3,0.4,해당사항없음,해당사항 없음,해당사항 없음,해당사항 없음,1.7,적합,3.0,해당사항없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
적합,공립,1.0,적합,해당없음,해당없음,해당없음,,27.3,,,,,,,30.0,,,적합,754.0,S010000742,,N,해당없음,703.0,적합,,적합,19.0,N,서울특별시교육청,,서울논현초등학교,적합,B100000001,1,,1168010800.0,적합,2022.0,38.0,,,,서울특별시강남서초교육지원청,해당없음,적합,43.9,1.0,,,0.02,적합,적합,,,,해당없음,하반기,서울특별시 강남구,,2,적합,,B100000249,,,적합,해당없음,0.01,,,,,,0.8,20.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,2,
