ADRCD_NM,ADRCD_CD,LCTN_SC_CODE,SCHUL_CODE,SCHUL_NM,SCHUL_KND_SC_CODE,PBAN_EXCP_YN,SEM_STR,AIR_BACT_STB_YN,AIR_BACT_RSLT_NMVL,AIR_BACT_RSLT_NMVL_2,FALL_BACT_STB_YN,FALL_BACT_RSLT_NMVL,FALL_BACT_RSLT_NMVL_2,MITE_STB_YN,MITE_RSLT_NMVL,MITE_RSLT_NMVL_2,RN_STB_YN,RN_RSLT_NMVL,RN_RSLT_NMVL_2,O3_STB_YN,O3_RSLT_NMVL,O3_RSLT_NMVL_2,ASBESTOS_STB_YN,ASBESTOS_RSLT_NMVL,ASBESTOS_RSLT_NMVL_2
서울특별시 서초구,1165010800.0,1,S000003511,서울교육대학교부설초등학교,2,N,상반기,적합,338.0,565.0,해당없음,,,적합,10.0,10.0,적합,38.7,38.7,적합,0.01,0.01,해당없음,,
서울특별시 서초구,1165010800.0,1,S000003511,서울교육대학교부설초등학교,2,N,하반기,적합,565.0,,적합,0.0,,적합,0.0,,적합,38.7,,적합,0.01,,해당없음,,
서울특별시 종로구,1111016800.0,1,S000003563,서울대학교사범대학부설초등학교,2,N,상반기,적합,147.6,81.8,적합,1.3,0.3,적합,20.0,,적합,47.0,,적합,0.003,0.003,적합,0.0,0.0
서울특별시 종로구,1111016800.0,1,S000003563,서울대학교사범대학부설초등학교,2,N,하반기,적합,193.8,,적합,1.0,,적합,20.0,,적합,54.0,,적합,0.0,,해당없음,,
서울특별시 강남구,1168010300.0,1,S010000738,서울개일초등학교,2,N,상반기,적합,70.0,120.0,해당없음,,,적합,20.0,0.0,적합,65.7,65.7,적합,0.008,0.012,적합,0.01,0.0
서울특별시 강남구,1168010300.0,1,S010000738,서울개일초등학교,2,N,하반기,적합,772.0,,해당없음,,,적합,10.0,,적합,61.3,,적합,0.0,,적합,0.0,
서울특별시 강남구,1168010300.0,1,S010000739,서울개포초등학교,2,Y,,,,,,,,,,,,,,,,,,,
서울특별시 강남구,1168010300.0,1,S010000741,서울구룡초등학교,2,N,상반기,적합,741.0,,해당없음,,,적합,0.0,,적합,118.9,,적합,0.007,,해당없음,,
서울특별시 강남구,1168010300.0,1,S010000741,서울구룡초등학교,2,N,하반기,적합,741.0,,적합,0.0,,적합,0.0,,적합,118.9,,적합,0.01,,해당없음,,
서울특별시 강남구,1168010800.0,1,S010000742,서울논현초등학교,2,N,상반기,적합,777.0,72.0,적합,0.0,,적합,20.0,,적합,29.0,,적합,0.014,0.015,적합,0.01,
서울특별시 강남구,1168010800.0,1,S010000742,서울논현초등학교,2,N,하반기,적합,228.0,,해당없음,,,적합,20.0,,적합,32.1,,적합,0.01,,적합,0.01,
서울특별시 강남구,1168010600.0,1,S010000743,서울대곡초등학교,2,N,상반기,적합,298.0,,해당없음,,,적합,0.0,,적합,35.8,,적합,0.012,,적합,0.01,
서울특별시 강남구,1168010600.0,1,S010000743,서울대곡초등학교,2,N,하반기,적합,766.0,,해당없음,,,해당없음,,,해당없음,,,적합,0.01,,해당없음,,
서울특별시 강남구,1168011800.0,1,S010000744,서울대도초등학교,2,N,상반기,적합,642.0,,해당없음,,,적합,20.0,,적합,40.7,,적합,0.044,,적합,0.01,
서울특별시 강남구,1168011800.0,1,S010000744,서울대도초등학교,2,N,하반기,적합,785.0,,적합,0.0,,적합,20.0,,적합,34.7,,적합,0.02,,적합,0.01,
서울특별시 강남구,1168011400.0,1,S010000745,서울대모초등학교,2,N,상반기,적합,362.0,,적합,0.0,,적합,20.0,,적합,18.9,,적합,0.012,,적합,0.0,
서울특별시 강남구,1168011400.0,1,S010000745,서울대모초등학교,2,N,하반기,적합,675.0,,해당없음,,,적합,20.0,,적합,16.9,,적합,0.01,,해당없음,,
서울특별시 강남구,1168011100.0,1,S010000746,서울대왕초등학교,2,N,상반기,적합,715.0,324.0,적합,0.0,0.0,적합,20.0,20.0,적합,0.0,47.1,적합,0.01,0.009,해당없음,,
서울특별시 강남구,1168011100.0,1,S010000746,서울대왕초등학교,2,N,하반기,적합,365.0,0.0,해당없음,,,해당없음,,,해당없음,,,적합,0.01,0.0,해당없음,,
서울특별시 강남구,1168010300.0,1,S010000747,서울대진초등학교,2,N,상반기,적합,763.0,,적합,0.0,,적합,20.0,,적합,24.7,,적합,0.029,,적합,0.01,
서울특별시 강남구,1168010300.0,1,S010000747,서울대진초등학교,2,N,하반기,적합,271.0,,미실시,,,적합,10.0,,적합,45.3,,적합,0.01,,적합,0.01,
서울특별시 강남구,1168011400.0,1,S010000748,서울대청초등학교,2,N,상반기,적합,423.0,761.0,해당없음,,,적합,20.0,,적합,49.9,,적합,0.017,0.018,적합,0.0,
서울특별시 강남구,1168011400.0,1,S010000748,서울대청초등학교,2,N,하반기,미실시,,,미실시,,,미실시,,,미실시,,,미실시,,,미실시,,
서울특별시 강남구,1168010600.0,1,S010000749,서울대치초등학교,2,N,상반기,미실시,,,해당없음,,,해당없음,,,해당없음,,,미실시,,,해당없음,,
서울특별시 강남구,1168010600.0,1,S010000749,서울대치초등학교,2,N,하반기,적합,274.0,,적합,0.0,,적합,0.0,,적합,46.0,,적합,0.01,,적합,0.01,
서울특별시 강남구,1168010600.0,1,S010000750,서울대현초등학교,2,N,상반기,적합,726.0,,적합,0.0,,적합,0.0,,적합,0.0,,적합,0.0,,적합,0.0,
서울특별시 강남구,1168010600.0,1,S010000750,서울대현초등학교,2,N,하반기,적합,769.0,,적합,0.0,,적합,20.0,,적합,84.3,,적합,0.01,,해당없음,,
서울특별시 강남구,1168010600.0,1,S010000751,서울도곡초등학교,2,N,상반기,적합,80.0,93.0,적합,0.0,0.0,적합,20.0,20.0,적합,48.0,48.0,적합,0.01,0.01,적합,0.0,0.0
서울특별시 강남구,1168010600.0,1,S010000751,서울도곡초등학교,2,N,하반기,적합,527.0,,해당없음,,,적합,20.0,,적합,62.8,,적합,0.0,,적합,0.01,
서울특별시 강남구,1168010100.0,1,S010000752,서울도성초등학교,2,N,상반기,적합,790.0,,적합,0.0,,적합,20.0,,적합,19.2,,적합,0.013,,적합,0.01,
서울특별시 강남구,1168010100.0,1,S010000752,서울도성초등학교,2,N,하반기,적합,731.0,,적합,0.0,,적합,20.0,,적합,24.4,,적합,0.01,,적합,0.01,
서울특별시 서초구,1165010600.0,1,S010000753,서울반원초등학교,2,N,상반기,적합,768.0,780.0,해당없음,,,적합,20.0,,적합,43.5,,적합,0.012,0.014,해당없음,,
서울특별시 서초구,1165010600.0,1,S010000753,서울반원초등학교,2,N,하반기,적합,787.0,780.0,해당없음,,,적합,20.0,,적합,87.2,,적합,0.01,0.0,해당없음,,
서울특별시 서초구,1165010100.0,1,S010000755,서울방배초등학교,2,N,상반기,적합,268.0,213.0,해당없음,,,적합,20.0,,해당없음,,,적합,0.017,0.016,해당없음,,
서울특별시 서초구,1165010100.0,1,S010000755,서울방배초등학교,2,N,하반기,적합,755.0,,미실시,,,미실시,,,적합,25.9,,적합,0.01,,미실시,,
서울특별시 서초구,1165010100.0,1,S010000756,서울방일초등학교,2,N,상반기,적합,,,적합,,,적합,,,적합,,,적합,,,해당없음,,
서울특별시 서초구,1165010100.0,1,S010000756,서울방일초등학교,2,N,하반기,적합,754.0,,적합,3.0,,적합,20.0,,적합,0.0,,적합,0.03,,적합,0.0,
서울특별시 서초구,1165010100.0,1,S010000757,서울방현초등학교,2,N,상반기,적합,765.0,,적합,0.0,,적합,20.0,,적합,32.9,,적합,0.01,,적합,0.001,
